Sampling Method,Model,Accuracy
Sampling1,Random Forest,0.9871794871794872
Sampling1,Gradient Boosting,0.9487179487179487
Sampling1,Logistic Regression,0.9358974358974359
Sampling1,Neural Network,0.7948717948717948
Sampling1,SVM,0.6153846153846154
Sampling2,Random Forest,0.9934640522875817
Sampling2,Gradient Boosting,0.9803921568627451
Sampling2,Neural Network,0.9738562091503268
Sampling2,Logistic Regression,0.8888888888888888
Sampling2,SVM,0.7320261437908496
Sampling3,Random Forest,1.0
Sampling3,Gradient Boosting,0.9913793103448276
Sampling3,Neural Network,0.9698275862068966
Sampling3,Logistic Regression,0.9353448275862069
Sampling3,SVM,0.6681034482758621
Sampling4,Logistic Regression,0.9375
Sampling4,Random Forest,0.75
Sampling4,Neural Network,0.6875
Sampling4,SVM,0.625
Sampling4,Gradient Boosting,0.625
Sampling5,Neural Network,1.0
Sampling5,Logistic Regression,0.6666666666666666
Sampling5,Random Forest,0.6666666666666666
Sampling5,SVM,0.6666666666666666
Sampling5,Gradient Boosting,0.6666666666666666
